forecastDate,taxagroup,NspExp,area_exp,mean_pareaBySp_exp
202405,amphibians,1640,15015850.575447368,41.91158536585368
202405,birds,2431,92166377.6951957,8.77211024269849
202405,mammals,1241,33566367.48451655,16.746978243352128
202405,reptiles,1890,31774567.7229551,32.691534391534425
202406,amphibians,1862,10915686.146328643,40.5214822771214
202406,birds,2291,25312235.99253997,4.7101702313400144
202406,mammals,1272,14341138.057584723,12.136006289308181
202406,reptiles,1980,18535906.999137197,27.228787878787866
202407,amphibians,2001,18315322.091196425,38.830584707646146
202407,birds,2887,46890626.43828564,4.894007620367179
202407,mammals,1443,20576167.65923843,9.966042966042968
202407,reptiles,2368,28655508.548569378,22.80109797297295
202408,amphibians,1753,12137157.970276114,39.44780376497433
202408,birds,2176,27567440.28843518,5.9724264705882195
202408,mammals,1167,13349493.295399034,12.286203941730927
202408,reptiles,1811,14090452.908391993,25.84815019326343
202409,amphibians,1992,11986639.454211729,36.86997991967867
202409,birds,2499,25149746.902847067,6.761904761904746
202409,mammals,1437,13717565.758738792,13.055671537926225
202409,reptiles,2461,23689198.502224915,24.78667208451844
202410,amphibians,1400,8206471.27298671,35.11428571428573
202410,birds,1740,21600581.958236143,6.318965517241375
202410,mammals,1075,10417904.688769052,13.538604651162784
202410,reptiles,1993,15002141.063259738,25.561966884094343
202411,amphibians,739,2815074.508829889,35.80108254397836
202411,birds,869,4363101.028631354,6.8918296892980395
202411,mammals,599,2611772.4511608332,14.202003338898153
202411,reptiles,1047,4544908.430562527,26.634192932187194
202412,amphibians,212,730175.6216784772,39.88207547169812
202412,birds,243,914672.094748371,8.790123456790122
202412,mammals,197,724364.1629726184,21.908629441624356
202412,reptiles,304,1077328.2759899958,37.70394736842106
202501,amphibians,237,809669.92110061506,46.0084388185654
202501,birds,225,899901.0082982902,7.822222222222224
202501,mammals,192,666448.7430313487,18.9375
202501,reptiles,399,1491595.5263958084,37.4310776942356
202502,amphibians,461,3287837.668077235,37.5596529284165
202502,birds,313,1780911.0467286906,8.597444089456868
202502,mammals,318,2983752.203617332,16.383647798742146
202502,reptiles,605,4230814.683287436,28.21487603305784
